Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lebanon,8.364,8.456,8.444,8.62,8.565,8.735,8.594,8.456,8.225,8.048,7.85,8.247,8.669,8.98,7.665,6.355,6.77,7.333,7.91,8.423,8.796,9.27,9.76,10.236,10.741,11.301,13.235,12.621,11.599,11.565
Liberia,2.664,2.588,2.371,2.176,2.038,2.021,2.035,2.125,2.211,2.406,2.412,2.403,2.274,2.223,2.211,2.236,2.266,2.208,2.138,2.072,2.079,2.553,3.081,3.066,3.057,3.072,4.092,3.792,2.99,2.939
Libya,19.411,19.483,19.322,19.439,19.271,19.306,19.168,19.186,19.198,19.002,18.873,18.613,18.744,18.708,18.953,19.18,19.208,19.43,19.03,19.316,19.298,19.649,19.5,19.015,18.836,19.037,19.535,19.595,19.319,18.743
St. Lucia,17.0,15.83,16.33,20.47,21.6,18.09,16.49,18.556,20.39,22.18,20.97,18.7,16.0,14.0,12.72,15.37,17.116,18.86,19.06,22.21,21.592,20.851,19.928,19.136,19.329,15.613,25.225,20.514,15.934,11.092
Sri Lanka,13.03,12.27,11.35,10.6,9.17,8.88,7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.243,4.046,4.318,4.67,5.365,5.258,6.33,6.36
Lesotho,15.587,15.771,15.681,15.796,15.887,16.145,16.143,16.05,16.045,16.019,16.121,15.994,16.02,15.905,15.812,16.089,16.044,16.098,15.733,15.907,16.056,16.223,16.139,16.391,16.637,16.876,18.351,18.129,16.668,16.46
Lithuania,13.8,17.54,16.4,14.13,13.711,13.388,15.931,16.84,13.008,12.875,10.684,8.325,5.78,4.25,5.826,13.785,17.814,15.39,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.956,6.962
Luxembourg,3.48,2.918,3.286,2.527,2.763,2.39,2.345,1.805,2.621,3.675,5.113,4.488,4.731,4.065,5.06,5.122,4.361,4.902,5.14,5.848,5.852,6.669,6.291,5.522,5.585,5.595,6.773,5.247,4.585,5.188
Latvia,18.7,19.0,20.7,14.9,14.454,13.79,14.211,13.821,13.829,12.061,11.708,10.033,7.03,6.052,7.739,17.515,19.482,16.206,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.534
"Macao SAR, China",2.48,3.581,4.249,3.261,4.607,6.348,6.874,6.393,6.267,5.995,4.905,4.158,3.822,3.27,2.999,3.58,2.84,2.56,1.97,1.82,1.67,1.81,1.939,1.987,1.834,1.749,2.566,2.252,2.476,2.246
Morocco,13.917,14.089,13.434,14.04,13.411,13.94,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.229,9.282,9.21,11.203,10.539,9.53,9.114
Moldova,5.8,5.3,7.9,7.9,10.0,11.14,8.539,7.366,6.845,6.378,6.374,5.633,4.26,2.749,2.097,3.024,2.972,2.677,2.19,1.894,1.451,1.781,1.591,1.622,1.239,1.502,1.206,0.794,0.909,1.623
Madagascar,6.09,6.078,6.082,5.963,5.896,5.82,5.8,5.35,5.52,5.01,3.952,2.62,2.945,3.2,3.428,3.883,4.28,2.518,0.599,0.995,1.385,1.785,1.944,2.113,2.289,2.46,3.246,3.415,3.186,3.061
Maldives,0.791,0.79,1.023,1.257,1.491,1.728,1.97,3.062,4.142,5.201,6.256,7.394,8.478,9.537,10.515,11.697,10.851,10.01,9.142,8.298,7.461,6.612,5.77,5.376,4.959,4.562,5.404,5.021,4.424,4.127
Mexico,4.436,7.095,5.465,4.235,3.733,2.598,2.646,2.627,3.003,3.455,3.937,3.558,3.566,3.628,3.874,5.356,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.441,4.019,3.256,2.812
North Macedonia,30.0,35.6,38.8,36.0,34.5,32.4,32.2,30.52,31.94,36.69,37.161,37.32,36.392,35.231,33.93,32.351,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.477,13.075
Mali,1.444,1.394,1.35,1.34,1.269,1.287,1.347,1.264,1.297,1.206,1.36,1.325,1.384,1.366,1.394,1.398,1.382,1.408,1.49,1.54,1.492,1.406,1.367,1.494,1.62,2.414,3.528,2.29,3.09,3.008
Malta,6.346,6.342,6.339,6.335,6.331,6.328,6.324,7.107,6.902,7.488,7.317,6.923,6.798,6.472,5.977,6.896,6.861,6.388,6.203,6.115,5.737,5.389,4.694,4.008,3.665,3.627,4.357,3.403,2.929,3.125
Myanmar,0.771,0.757,0.762,0.765,0.772,0.762,0.731,0.7,0.685,0.683,0.678,0.67,0.669,0.673,0.684,0.696,0.707,0.723,0.742,0.753,0.749,0.766,1.043,1.356,0.767,0.407,1.476,4.34,2.83,2.841
Montenegro,30.366,30.178,29.837,29.844,29.936,30.191,30.249,30.308,30.277,30.318,30.315,30.31,24.843,19.4,17.15,19.09,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128,17.878,16.543,15.288,15.254
Mongolia,5.709,5.5,5.533,5.611,5.751,5.84,5.985,6.107,6.2,6.768,6.852,7.015,7.193,7.2,5.565,5.86,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,5.377,9.269,6.594,7.747,6.211,6.134
Mozambique,2.856,2.755,2.752,2.7,2.646,2.675,2.831,2.84,2.906,2.869,2.958,3.029,3.027,3.065,3.095,3.182,3.24,3.279,3.305,3.338,3.378,3.426,3.48,3.543,3.602,3.632,3.877,3.984,3.621,3.535
Mauritania,9.873,9.674,9.673,9.694,9.863,9.912,9.903,10.002,10.076,9.817,9.696,9.538,9.287,9.455,9.681,10.155,10.054,9.956,9.865,9.931,10.03,10.109,10.286,10.336,10.438,10.416,11.01,11.068,10.602,10.512
Mauritius,9.531,9.59,9.502,9.383,9.26,9.275,9.132,9.14,8.205,8.314,8.337,9.524,9.04,8.475,7.17,7.257,7.654,7.447,7.472,7.322,7.467,7.41,6.814,6.752,6.427,6.331,8.627,7.719,6.322,6.057
Malawi,5.333,4.884,4.929,4.69,4.915,4.993,5.034,5.202,5.229,5.151,4.958,4.931,4.95,4.876,4.801,4.74,4.787,4.835,4.951,4.978,4.966,4.95,5.003,5.033,5.003,4.949,5.681,5.585,5.051,5.044
Malaysia,3.64,3.15,2.52,2.45,3.2,3.43,3.0,3.53,3.48,3.61,3.54,3.53,3.32,3.23,3.32,3.66,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54,4.64,3.93,3.855
Namibia,19.4,21.319,22.837,24.45,23.083,21.67,20.3,20.986,21.51,22.068,22.09,22.105,21.861,22.11,22.004,22.253,22.12,19.479,16.771,19.028,18.521,20.799,23.352,21.739,19.877,19.945,20.966,20.877,19.748,19.422
New Caledonia,18.956,18.635,18.64,18.382,18.619,18.292,17.986,17.447,17.079,16.719,16.31,15.77,15.238,14.758,14.368,13.97,13.95,13.937,14.053,14.348,14.59,13.637,12.714,11.676,11.702,10.881,13.558,12.537,11.291,11.22
Niger,1.493,1.486,1.49,1.496,1.378,1.383,1.426,1.47,1.807,2.146,2.748,3.1,2.532,2.027,1.59,1.212,0.721,0.317,2.177,1.4,0.524,0.558,0.555,0.564,0.546,0.544,0.62,0.819,0.552,0.55
Nigeria,3.959,4.041,3.944,3.873,3.836,3.898,3.87,3.827,3.618,3.594,3.556,3.69,3.718,3.767,3.771,3.751,3.739,3.77,3.76,3.711,3.903,4.137,4.498,4.826,5.065,5.206,5.712,5.393,3.827,3.074
Nicaragua,7.773,7.491,7.164,7.132,7.232,7.197,7.188,7.22,7.523,7.6,6.41,5.37,5.31,4.89,6.2,8.16,7.83,6.617,5.208,5.28,4.52,4.7,3.9,3.3,5.2,5.47,6.167,6.064,4.978,4.795
Netherlands,7.159,7.158,6.421,5.511,4.394,3.623,2.725,2.119,2.554,3.593,4.646,5.873,5.002,4.153,3.654,4.347,4.989,4.977,5.821,7.243,7.416,6.873,6.006,4.839,3.831,3.38,3.819,4.21,3.524,3.561
Norway,5.349,6.307,5.036,4.687,3.737,3.247,3.458,3.738,4.022,4.221,4.256,4.381,3.399,2.493,2.55,3.103,3.521,3.215,3.123,3.423,3.484,4.296,4.679,4.162,3.8,3.687,4.422,4.369,3.233,3.581
Nepal,10.552,10.565,10.56,10.596,10.608,10.624,10.622,10.615,10.655,10.677,10.68,10.652,10.659,10.672,10.65,10.64,10.629,10.653,10.654,10.667,10.647,10.655,10.684,10.66,10.63,10.578,13.157,12.315,10.922,10.685
New Zealand,8.354,6.461,6.29,6.857,7.718,7.023,6.13,5.433,5.282,4.745,4.005,3.807,3.857,3.661,4.167,6.121,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.737
Oman,4.17,4.262,4.345,4.278,4.342,4.417,4.396,4.337,4.374,4.653,4.756,4.64,4.391,4.3,4.142,3.991,3.925,3.928,3.727,3.516,3.43,3.392,3.266,2.524,1.8,2.052,2.94,1.9,1.514,1.46
Pakistan,0.591,0.596,0.591,0.596,0.6,0.602,0.597,0.595,0.597,0.595,0.588,0.582,0.582,0.398,0.423,0.535,0.653,0.796,3.667,2.954,1.827,3.566,2.286,3.193,4.083,4.83,6.162,6.338,5.548,5.499
Panama,6.439,6.51,6.525,6.423,6.297,6.285,6.322,6.429,6.419,6.393,6.171,6.041,5.849,5.743,5.704,5.849,5.873,4.049,3.717,3.707,4.415,4.37,4.758,5.395,5.218,6.332,14.183,10.453,8.202,6.701
Peru,4.526,4.737,4.95,4.784,5.11,5.02,4.965,5.067,4.84,4.15,4.71,4.87,4.17,4.08,4.03,3.96,3.6,3.477,3.238,3.575,3.208,3.272,3.741,3.691,3.492,3.379,7.179,5.097,3.85,4.82
Philippines,3.796,3.71,3.637,3.618,3.712,3.758,3.77,3.698,3.615,3.527,3.554,3.795,4.052,3.434,3.72,3.858,3.605,3.592,3.504,3.497,3.6,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.233
Papua New Guinea,2.454,2.633,2.751,2.87,2.871,2.943,2.92,2.801,2.754,2.627,2.524,2.386,2.286,2.171,2.168,2.088,2.002,2.62,2.627,2.682,2.524,2.487,2.453,2.544,2.604,2.599,2.814,2.906,2.689,2.651
Poland,14.825,13.695,12.684,10.964,9.935,12.29,16.314,18.373,19.895,19.37,19.074,17.746,13.841,9.602,7.118,8.167,9.637,9.632,10.088,10.326,8.99,7.501,6.161,4.888,3.846,3.277,3.162,3.363,2.886,2.905
Puerto Rico,14.6,13.93,13.64,13.8,13.46,11.81,10.08,11.4,11.94,11.78,10.31,11.35,11.01,10.93,11.48,15.0,16.1,15.7,14.5,14.3,13.9,12.0,11.8,10.8,9.2,8.3,8.89,7.9,6.0,5.962
"Korea, Dem. People's Rep.",2.639,2.659,2.693,2.782,2.974,3.166,3.147,3.16,3.12,3.13,3.079,3.032,2.997,2.98,2.906,2.895,2.825,2.903,2.92,2.93,2.883,2.902,2.925,2.846,2.784,2.838,3.029,3.134,2.965,3.004
Portugal,6.709,7.064,7.298,6.571,4.64,4.579,3.806,3.829,4.497,6.132,6.319,7.582,7.649,7.966,7.553,9.432,10.771,12.682,15.531,16.188,13.897,12.447,11.068,8.869,6.994,6.464,6.796,6.577,6.011,6.491
Paraguay,4.41,3.4,8.15,5.36,4.417,5.343,7.61,6.206,9.393,6.814,6.513,4.825,5.277,4.713,4.415,5.46,4.569,4.67,4.086,4.385,5.034,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.779
West Bank and Gaza,10.183,10.379,10.494,10.515,10.433,10.351,10.625,21.493,27.465,23.004,23.215,20.016,19.014,18.282,22.913,20.452,21.416,17.597,19.202,19.894,20.527,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,N/A
French Polynesia,12.103,12.05,12.015,11.945,11.853,11.745,11.608,11.678,11.71,11.748,11.697,11.718,11.766,11.74,11.759,11.968,12.143,12.273,12.146,12.03,11.886,11.776,11.699,11.554,11.553,11.536,12.879,12.492,11.911,11.724
Qatar,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13
Romania,8.17,8.01,6.74,5.515,5.63,6.239,6.969,6.562,8.112,6.95,7.719,7.174,7.27,6.413,5.788,6.859,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.595
Russian Federation,8.131,9.449,9.665,11.813,13.261,13.036,10.581,8.978,7.875,8.21,7.763,7.124,7.055,6.002,6.205,8.301,7.369,6.536,5.436,5.458,5.16,5.571,5.559,5.212,4.846,4.496,5.589,4.715,3.867,3.325
Rwanda,12.287,12.094,11.696,11.31,11.438,11.711,11.805,11.828,11.557,11.751,11.78,11.901,11.669,11.661,11.601,11.694,11.7,11.801,11.72,11.802,11.858,11.849,11.805,11.875,10.759,11.236,11.829,15.793,15.085,14.932
Saudi Arabia,6.88,6.44,5.845,5.322,4.769,4.346,4.57,4.618,5.265,5.563,5.822,6.051,6.254,5.734,5.085,5.377,5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.45,6.621,5.589,4.88
Sudan,14.923,14.931,14.902,14.577,14.603,14.651,14.869,14.825,14.767,14.766,14.788,14.791,14.783,14.769,14.8,13.0,15.156,17.44,17.068,16.414,15.558,14.512,13.812,13.206,12.605,12.014,12.368,11.466,7.53,11.449
Senegal,2.932,2.84,2.826,2.76,2.751,2.665,2.648,2.68,2.808,2.774,2.77,2.685,2.755,2.796,2.813,2.807,2.798,2.853,3.887,4.989,5.842,6.757,4.455,4.078,3.567,2.863,3.405,3.368,2.968,2.93
Singapore,3.03,3.3,3.57,2.5,3.41,4.85,3.7,3.76,5.65,5.93,5.84,5.59,4.48,3.9,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.472
Solomon Islands,1.816,1.849,1.88,2.003,2.136,2.17,2.402,2.583,2.635,2.256,2.015,1.879,1.915,1.975,1.996,2.02,1.622,1.297,0.987,0.694,0.728,0.735,0.735,0.727,0.723,0.746,0.852,0.866,1.579,1.545
Sierra Leone,4.316,4.21,4.21,4.251,4.159,4.198,4.081,4.161,3.901,3.879,3.42,3.724,3.9,4.018,4.14,4.282,4.427,4.554,4.56,4.538,4.678,4.621,4.312,3.848,3.193,3.204,3.485,3.516,3.194,3.174
El Salvador,7.68,7.65,7.68,7.98,7.1,7.3,6.96,6.96,6.2,6.9,6.8,7.22,6.57,6.41,5.88,7.33,4.893,4.297,3.843,3.693,4.154,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.758
Somalia,19.686,19.477,19.394,19.033,18.947,18.951,18.781,18.883,18.893,18.914,18.846,18.873,18.9,18.834,18.88,18.926,18.973,19.021,19.078,18.995,18.847,18.444,18.372,18.545,18.783,18.828,19.35,19.553,19.128,19.027
Serbia,13.509,13.4,13.2,13.8,13.7,13.7,12.6,12.8,13.8,15.2,18.5,20.85,20.85,18.06,13.67,16.116,19.204,22.959,24.0,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,10.061,8.684,8.683
Sao Tome and Principe,14.376,14.323,14.319,14.404,14.393,14.353,14.4,15.73,17.63,16.36,16.12,16.47,16.65,16.098,15.573,15.4,14.66,14.196,13.59,13.711,13.619,13.598,13.65,13.811,13.878,13.998,15.183,15.042,14.115,14.208
Suriname,12.7,8.39,10.88,10.56,10.63,13.6,12.975,12.137,11.233,10.351,9.49,9.263,9.096,9.005,8.832,8.72,7.15,7.54,8.1,6.6,6.94,7.22,7.917,7.883,7.685,7.545,8.726,8.459,8.232,7.704
Slovak Republic,13.654,13.109,11.341,11.894,12.421,16.099,18.546,19.149,18.541,17.55,18.206,16.276,13.395,11.16,9.514,12.023,14.387,13.634,13.966,14.227,11.537,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.84
Slovenia,8.24,7.15,6.886,6.658,7.4,7.33,6.92,5.685,5.927,6.481,6.017,6.515,5.957,4.828,4.379,5.869,7.248,8.182,8.852,10.116,9.692,8.975,8.007,6.573,5.116,4.448,4.974,4.747,4.013,3.627
Sweden,9.58,8.897,9.547,10.359,8.941,7.607,5.466,4.73,4.965,5.555,6.693,7.486,7.066,6.161,6.235,8.351,8.61,7.804,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.587
Eswatini,21.704,21.65,22.076,22.5,23.204,23.849,24.518,25.2,25.734,26.229,26.695,27.208,27.689,28.24,27.847,27.404,26.753,25.994,25.118,24.435,23.817,23.279,22.718,24.83,26.983,29.049,34.232,35.707,37.852,37.636
Syrian Arab Republic,7.5,7.2,7.225,7.314,7.382,7.6,9.589,11.63,10.94,10.28,9.518,8.816,8.17,8.42,10.94,8.14,8.61,8.612,13.8,14.479,14.768,14.29,13.867,13.67,13.554,13.393,15.176,14.796,13.813,13.544
Chad,0.711,0.751,0.701,0.732,0.727,0.752,0.792,0.789,0.768,0.728,0.679,0.67,0.716,0.829,0.904,0.903,0.873,0.899,0.893,0.942,0.926,0.968,1.044,1.116,1.135,1.081,1.693,1.511,1.104,1.082
Togo,4.184,3.986,3.624,3.636,3.789,3.892,4.151,4.102,4.085,3.964,3.999,4.151,4.229,3.822,3.286,2.853,2.385,1.982,2.028,2.083,2.142,2.204,2.963,3.744,2.903,2.056,2.211,2.285,2.065,2.048
Thailand,1.347,1.1,1.071,0.873,3.404,2.968,2.389,2.6,1.82,1.54,1.51,1.35,1.22,1.18,1.18,1.49,0.622,0.66,0.58,0.249,0.576,0.597,0.688,0.83,0.766,0.716,1.099,1.215,0.94,0.913
Tajikistan,8.8,10.3,13.4,13.9,16.5,15.4,14.972,14.566,14.148,13.751,13.364,12.995,12.627,12.254,11.869,11.5,10.844,10.187,9.519,8.86,8.206,7.554,6.9,6.9,6.898,6.898,7.176,7.253,6.981,6.981
Turkmenistan,4.7,8.3,10.3,11.0,12.2,12.7,11.75,10.898,10.1,9.239,8.367,7.46,6.577,5.705,4.846,4.0,4.0,4.002,3.997,3.999,4.011,4.023,4.034,4.045,4.051,4.055,4.489,4.452,4.121,4.12
Timor-Leste,3.278,3.3,3.315,3.346,3.408,3.66,3.596,3.483,3.326,3.409,3.498,3.448,3.46,3.409,3.367,3.295,3.301,3.533,3.767,4.011,4.228,4.45,4.657,4.212,3.732,3.129,2.792,2.344,1.537,1.523
Tonga,1.708,2.007,2.414,2.864,3.36,3.714,4.12,4.479,4.837,5.18,3.944,2.572,1.09,1.182,1.254,1.41,1.517,1.606,1.647,1.758,1.924,2.028,2.048,2.132,2.248,2.164,2.675,2.111,2.354,2.303
Trinidad and Tobago,18.44,17.22,16.25,15.01,14.21,13.12,12.1,10.88,10.39,10.48,8.33,7.95,6.27,5.54,4.63,5.28,4.033,3.425,3.718,2.683,2.477,2.428,3.207,3.385,3.49,3.523,4.206,4.446,4.383,4.206
Tunisia,16.038,16.36,16.07,15.94,15.476,15.21,14.94,14.4,14.55,14.51,14.23,12.872,12.51,12.365,12.444,13.291,13.049,18.334,17.63,15.934,14.259,15.159,15.557,15.33,15.459,17.153,17.576,16.505,15.301,15.106
Turkiye,8.577,7.644,6.629,6.841,6.888,7.687,6.495,8.381,10.358,10.542,10.838,10.636,10.227,10.285,10.965,14.026,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.432,9.412
Tanzania,3.847,3.659,3.466,3.336,3.279,3.215,3.127,2.994,3.021,3.051,3.104,3.192,3.299,3.024,2.775,2.5,3.029,3.47,3.223,2.93,2.125,2.162,2.237,2.313,2.409,2.518,2.781,2.806,2.609,2.607
Uganda,3.424,3.197,3.182,3.222,3.418,3.454,3.52,3.517,3.5,3.6,2.706,1.9,2.27,2.675,3.049,3.6,3.619,3.528,3.551,1.91,2.404,2.788,3.167,3.643,3.42,3.185,3.914,3.422,2.93,2.831
Ukraine,2.0,5.62,7.65,8.93,11.32,11.864,11.707,11.061,10.136,9.057,8.59,7.18,6.81,6.351,6.363,8.84,8.1,7.851,7.529,7.17,9.27,9.14,9.35,9.5,8.799,8.194,9.475,9.834,N/A,N/A
Uruguay,9.04,10.02,11.93,11.44,9.362,10.466,12.627,15.052,16.648,16.661,12.98,12.009,10.844,9.403,8.026,7.74,7.158,6.307,6.451,6.444,6.547,7.488,7.841,7.89,8.336,8.734,10.33,9.301,7.877,8.354
United States,6.119,5.65,5.451,5.0,4.511,4.219,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.625
Uzbekistan,7.3,7.8,10.7,10.9,13.3,13.3,12.286,11.254,10.224,9.185,8.126,7.074,6.026,4.99,4.89,5.04,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,5.391,4.945,5.293,5.345,4.535,4.526
St. Vincent and the Grenadines,19.958,19.984,20.328,20.106,20.503,20.524,20.792,21.1,20.617,19.967,19.524,19.449,19.15,18.927,18.79,19.378,19.951,20.03,19.846,19.347,19.229,19.121,19.01,18.988,18.968,19.22,20.563,20.279,19.51,18.674
"Venezuela, RB",8.56,10.24,11.77,11.16,11.15,14.53,13.99,13.04,16.17,16.78,15.07,10.663,8.606,7.279,6.245,6.097,7.112,6.902,6.601,7.54,6.821,6.138,5.319,5.045,5.463,5.887,7.53,7.027,5.747,5.528
Viet Nam,1.98,1.959,1.93,2.87,2.29,2.33,2.26,2.76,2.12,2.25,2.14,2.077,2.045,2.026,1.889,1.737,1.114,0.999,1.027,1.316,1.256,1.849,1.848,1.874,1.161,1.681,2.103,2.385,1.535,1.602
Vanuatu,8.145,8.198,8.153,8.287,8.285,8.352,8.321,8.47,8.654,8.71,8.465,8.132,8.006,6.852,5.658,4.565,4.683,4.819,4.949,5.057,5.15,5.255,5.262,5.288,5.326,5.445,4.046,4.734,5.171,5.099
World,5.66775406003629,5.82078571324882,5.90867792430197,5.95403565786869,6.12523068040456,6.26552753794956,6.13111802117014,6.22346830929282,6.46830810118524,6.5712830050912,6.44967688536565,6.36646521138731,6.10658593841064,5.89967661605856,5.93669404614037,6.51468712239899,6.38946472723596,6.24048204330454,6.22827279799595,6.167133899401,6.01622857271861,6.04884902024337,6.01033134504685,5.91614141999205,5.75639790322219,5.5829801043763,6.58528753143071,6.03376129229279,5.26461597288318,4.96143065047416
Samoa,2.995,3.239,3.51,3.775,4.123,4.487,4.732,4.96,4.978,5.04,5.165,5.214,5.323,5.426,5.538,5.646,5.62,5.68,8.752,8.772,8.72,8.9,9.062,9.4,9.512,9.601,10.214,10.368,9.923,9.747
"Yemen, Rep.",8.34,8.987,9.588,10.224,10.83,11.46,11.561,11.725,11.842,12.013,12.131,12.216,12.349,12.483,12.647,12.753,12.778,13.277,13.44,13.638,13.467,17.9,18.382,18.564,17.644,17.303,17.972,18.248,17.515,17.215
South Africa,20.073,19.799,19.643,19.679,19.821,19.926,19.841,19.725,19.658,19.728,19.634,19.557,19.425,19.39,19.507,20.512,23.181,21.416,21.786,22.038,22.606,22.869,24.023,23.992,24.218,25.538,24.339,28.77,28.838,27.988
Zambia,18.645,16.825,15.3,13.305,12.0,12.496,12.93,13.41,14.125,14.701,15.327,15.9,13.232,10.563,7.93,10.581,13.19,10.546,7.85,8.042,8.131,8.316,8.418,8.518,5.031,5.539,6.032,5.195,5.993,5.913
Zimbabwe,4.96,5.573,6.161,6.93,6.385,6.0,5.682,5.314,5.007,4.736,4.39,4.626,4.763,4.997,5.374,5.469,5.456,5.368,5.057,4.944,4.774,5.383,5.893,6.347,6.792,7.373,8.621,9.54,10.087,8.759
